epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,27463.1,0.709,0.53178,0.99914,0.01288,0.77154,0.63413,0.70506,0.5939,0.65219,0.47295,0.97021,0.00793,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,27847.4,0.71159,0.5328,1.00012,0.0131,0.78991,0.62521,0.70568,0.59437,0.65199,0.47259,0.97015,0.00792,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,28237,0.70753,0.52735,0.99692,0.01273,0.78637,0.6271,0.70577,0.59482,0.65192,0.47222,0.97009,0.00792,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,28638.2,0.70835,0.5295,0.99899,0.01282,0.78681,0.62778,0.70596,0.59505,0.65183,0.47205,0.97008,0.00791,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,29038.4,0.7112,0.52854,0.99979,0.01303,0.78751,0.628,0.70605,0.59519,0.65173,0.4718,0.96999,0.00791,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,29430.9,0.70605,0.52645,0.99882,0.01265,0.78722,0.62964,0.70631,0.59517,0.65157,0.47141,0.96995,0.0079,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,29840.1,0.70576,0.52668,0.99819,0.01256,0.78675,0.62968,0.70667,0.59527,0.65156,0.47101,0.96983,0.0079,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,30247.2,0.70555,0.52308,0.99867,0.01253,0.78475,0.63089,0.70667,0.59558,0.65132,0.47089,0.96977,0.00789,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,30642.6,0.70491,0.52231,0.9967,0.01246,0.78661,0.63047,0.70657,0.59548,0.65123,0.47071,0.96971,0.00789,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,31048.4,0.70431,0.52396,0.9978,0.01257,0.78653,0.63077,0.70689,0.59564,0.65104,0.47029,0.96963,0.00788,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,31443.7,0.70607,0.52249,0.99802,0.01258,0.78768,0.63034,0.70673,0.5958,0.65079,0.47024,0.96953,0.00787,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,31859.3,0.70332,0.51989,0.99705,0.01247,0.79013,0.63035,0.70693,0.59593,0.65071,0.46996,0.96953,0.00787,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,32244.2,0.6998,0.51604,0.99636,0.0123,0.79026,0.62929,0.70745,0.59645,0.6505,0.46973,0.96941,0.00786,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,32635.7,0.70405,0.52194,0.99765,0.01245,0.79104,0.62926,0.70781,0.59664,0.65021,0.46921,0.96939,0.00785,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,33036.6,0.70045,0.51503,0.99619,0.01246,0.7923,0.62867,0.70772,0.59629,0.6501,0.46911,0.96929,0.00785,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,33408.9,0.69929,0.51597,0.99469,0.01242,0.78563,0.63498,0.7081,0.59677,0.6499,0.46875,0.96929,0.00784,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,33802.1,0.70048,0.5169,0.99504,0.01236,0.78459,0.63615,0.70839,0.5971,0.64979,0.46857,0.96927,0.00783,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,34173.7,0.69838,0.51242,0.9949,0.01229,0.77713,0.64127,0.70876,0.59764,0.64958,0.46834,0.96922,0.00782,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,34555.2,0.69766,0.51231,0.99531,0.01222,0.77965,0.64045,0.70894,0.59773,0.64946,0.46795,0.96921,0.00782,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,34950,0.69485,0.51009,0.99325,0.01212,0.77976,0.64086,0.7093,0.5981,0.64923,0.4673,0.9692,0.00781,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,35319.5,0.69654,0.50862,0.99539,0.01207,0.78101,0.64052,0.70952,0.59839,0.6492,0.46722,0.96922,0.0078,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,35719.3,0.69481,0.50916,0.99432,0.01206,0.78083,0.64068,0.7097,0.59847,0.64906,0.46695,0.96913,0.0078,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,36125.6,0.69816,0.51388,0.99382,0.01215,0.77964,0.64083,0.70994,0.59906,0.6489,0.46651,0.96917,0.0078,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,36508.4,0.69475,0.50529,0.99403,0.012,0.78096,0.64029,0.7102,0.59937,0.64881,0.46639,0.96913,0.0078,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,36884.6,0.69247,0.50561,0.99375,0.012,0.78303,0.63877,0.71057,0.59948,0.64874,0.46612,0.96912,0.00779,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,37299,0.69646,0.50701,0.99189,0.01205,0.79422,0.63468,0.71088,0.59965,0.64863,0.46567,0.96907,0.00778,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,37688,0.69235,0.50357,0.99122,0.01187,0.79563,0.63395,0.71088,0.5999,0.64844,0.4655,0.969,0.00777,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,38077.7,0.69095,0.50073,0.99122,0.01189,0.79687,0.6337,0.71114,0.60018,0.64824,0.46541,0.96892,0.00777,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,38457.1,0.69211,0.50104,0.99451,0.01189,0.79732,0.63342,0.71183,0.60072,0.64813,0.46527,0.96887,0.00777,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,38852.1,0.69027,0.50083,0.9922,0.01187,0.79663,0.63265,0.71182,0.60098,0.64796,0.46532,0.96881,0.00777,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,39253.9,0.68869,0.49995,0.99114,0.01178,0.79722,0.63304,0.71206,0.60117,0.64794,0.46526,0.96879,0.00776,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,39663.2,0.68964,0.49939,0.99007,0.01175,0.79718,0.63279,0.71215,0.6014,0.64788,0.4653,0.96874,0.00775,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,40060,0.69219,0.50327,0.99317,0.01191,0.79974,0.63231,0.71245,0.6016,0.64773,0.46538,0.96867,0.00774,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,40446,0.68567,0.49531,0.99006,0.01166,0.79757,0.6338,0.71263,0.60188,0.6477,0.4652,0.96862,0.00774,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,40837.5,0.68535,0.49548,0.98932,0.0115,0.80117,0.63191,0.71276,0.60194,0.6476,0.46501,0.96862,0.00773,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,41223.1,0.6855,0.49465,0.99129,0.01153,0.79971,0.63262,0.71295,0.60201,0.64746,0.4646,0.96862,0.00772,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,41604.3,0.68625,0.49492,0.98918,0.01159,0.80161,0.63189,0.71316,0.60231,0.64747,0.46431,0.96859,0.00771,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,41995.1,0.68476,0.49371,0.98848,0.01169,0.80089,0.63269,0.71308,0.60245,0.64731,0.46412,0.96855,0.00771,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,42395.4,0.68487,0.4942,0.98963,0.01167,0.79759,0.63397,0.71345,0.60264,0.64713,0.46389,0.96856,0.00771,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,42786.6,0.68379,0.49081,0.98862,0.01156,0.79925,0.63274,0.71362,0.60317,0.64706,0.46363,0.96855,0.0077,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,43171.6,0.6838,0.4898,0.98898,0.0116,0.79862,0.63318,0.71372,0.60307,0.64685,0.46338,0.96847,0.0077,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,43567.8,0.68276,0.48909,0.98952,0.01156,0.80179,0.63145,0.71377,0.60337,0.64679,0.46329,0.96836,0.0077,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,43947,0.68178,0.48532,0.98805,0.01149,0.80142,0.63123,0.71375,0.6032,0.64665,0.4632,0.96827,0.00769,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,44361,0.68115,0.48751,0.98869,0.01146,0.80318,0.63059,0.71403,0.60363,0.64657,0.46289,0.96834,0.00769,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,44759.2,0.67941,0.48551,0.98763,0.01128,0.80329,0.63163,0.71421,0.60389,0.64648,0.46255,0.96833,0.00769,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,45151.7,0.67781,0.4839,0.98721,0.01138,0.80148,0.63251,0.71458,0.60432,0.64632,0.46238,0.96825,0.00769,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,45525.9,0.67995,0.48397,0.98679,0.01147,0.80887,0.62692,0.71484,0.60423,0.64613,0.4621,0.96826,0.00768,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,45902.7,0.67682,0.4828,0.98684,0.01132,0.79784,0.63495,0.71481,0.60447,0.64613,0.46197,0.96823,0.00768,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,46280.1,0.68078,0.48453,0.98817,0.01142,0.79616,0.63525,0.71511,0.6047,0.64593,0.46175,0.96821,0.00767,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,46655.7,0.67789,0.48305,0.98722,0.01135,0.79414,0.63538,0.71489,0.60474,0.64583,0.46169,0.96819,0.00767,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,47056.3,0.67581,0.47867,0.98649,0.01124,0.79391,0.63585,0.71494,0.60497,0.64577,0.46163,0.9682,0.00767,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,47444.4,0.67598,0.47833,0.9871,0.01126,0.79518,0.63564,0.71527,0.6053,0.64567,0.46132,0.96813,0.00767,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,47845.9,0.67647,0.48019,0.9851,0.01126,0.79255,0.63756,0.71564,0.60539,0.64555,0.46112,0.96807,0.00766,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,48250.2,0.6751,0.4778,0.9858,0.01124,0.79178,0.63833,0.7162,0.60558,0.64544,0.46089,0.96799,0.00766,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,48641.5,0.67165,0.4773,0.98416,0.01103,0.79315,0.63788,0.71608,0.60581,0.64528,0.46072,0.96795,0.00766,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
